Ticker,Date/Time,Open,High,Low,Close,Volume
CTD,4/19/2019 0:00,83.01,84.11,82.94,83.77,222600
CTD,4/22/2019 0:00,82.87,83.15,81.84,82.39,377800
CTD,4/23/2019 0:00,82.39,83.08,82.25,82.8,180470
CTD,4/24/2019 0:00,82.8,83.42,82.39,83.42,110990
CTD,4/25/2019 0:00,83.42,83.77,83.08,83.36,97870
CTD,4/26/2019 0:00,83.42,83.49,82.39,83.29,82680
CTD,5/2/2019 0:00,83.29,83.29,82.74,83.08,53090
CTD,5/3/2019 0:00,82.74,83.77,82.6,83.77,83910
CTD,5/6/2019 0:00,83.08,83.08,82.05,82.39,82050
CTD,5/7/2019 0:00,82.39,82.8,82.18,82.18,46880
CTD,5/8/2019 0:00,82.05,82.05,81.36,81.49,92530
CTD,5/9/2019 0:00,81.49,81.49,80.67,80.67,48370
CTD,5/10/2019 0:00,80.67,82.18,80.67,80.8,139060
CTD,5/13/2019 0:00,80.8,82.05,80.39,80.39,57910
CTD,5/14/2019 0:00,80.25,80.67,78.6,78.94,107530
CTD,5/15/2019 0:00,78.94,81.08,78.94,80.67,129120
CTD,5/16/2019 0:00,80.67,82.05,80.6,82.05,91750
CTD,5/17/2019 0:00,82.39,82.39,80.74,81.36,55810
CTD,5/20/2019 0:00,81.36,81.36,79.98,81.01,41630
CTD,5/21/2019 0:00,80.12,80.87,79.36,79.77,119230
CTD,5/22/2019 0:00,79.36,79.98,79.36,79.49,37950
CTD,5/23/2019 0:00,79.43,79.91,79.29,79.43,42500
CTD,5/24/2019 0:00,79.43,79.84,79.15,79.43,63710
CTD,5/27/2019 0:00,79.43,79.43,78.6,78.6,92060
CTD,5/28/2019 0:00,78.6,79.15,77.91,77.91,41950
CTD,5/29/2019 0:00,77.91,77.91,76.53,76.6,72640
CTD,5/30/2019 0:00,76.6,78.25,76.19,77.22,37380
CTD,5/31/2019 0:00,77.22,77.77,76.53,76.53,27200
CTD,6/3/2019 0:00,76.53,76.74,73.08,76.46,86360
CTD,6/4/2019 0:00,76.53,76.6,73.29,73.29,44580
CTD,6/5/2019 0:00,75.15,75.15,73.77,73.77,25090
CTD,6/6/2019 0:00,74.46,74.46,72.39,73.77,41540
CTD,6/7/2019 0:00,72.74,73.77,72.67,72.81,50660
CTD,6/10/2019 0:00,73.08,73.77,72.74,73.15,37210
CTD,6/11/2019 0:00,73.43,73.43,73.08,73.15,27850
CTD,6/12/2019 0:00,73.08,73.63,73.01,73.01,28630
